county	density	education	unemployment	sex	age	public_commute	infection_rate	infection_density	average_daily_increase	covid1	covid2	covid3	covid4		covid6
"Albany County, New York"	571	93	5	94	38	6	0.000499665	0.285178236	21	88	127	146	152		
"Allegany County, New York"	47	89	7	103	39	1	4.08614E-05	0.001934236	0	2	2	2	2		
"Broome County, New York"	281	90	7	97	40	3	5.48355E-05	0.015384615	102	2	7	7	11		
"Cattaraugus County, New York"	61	88	7	98	42	0	0	0	0	0	0	0	0		
"Cayuga County, New York"	93	88	6	105	43	1	2.49919E-05	0.002314815	0	0	2	2	2		
"Chautauqua County, New York"	90	89	8	98	42	0	7.41262E-06	0.000666667	0	0	0	0	1		
"Chemung County, New York"	216	90	5	98	41	2	1.12575E-05	0.002434215	0	0	0	0	1		
"Chenango County, New York"	56	88	7	100	44	0	5.9433E-05	0.003337598	17	2	3	3	3		
"Clinton County, New York"	73	87	6	105	39	1	0.000121761	0.008944544	39	4	6	6	10		
"Columbia County, New York"	97	89	5	101	47	3	0.000190186	0.018518519	140	2	10	10	12		
"Cortland County, New York"	98	91	5	94	36	1	4.05383E-05	0.003984064	33	1	2	2	2		
"Delaware County, New York"	33	88	7	101	47	2	0.00010421	0.003405995	89	1	3	3	5		
"Dutchess County, New York"	361	91	7	99	42	5	0.000514306	0.185454545	50	49	100	124	153		
"Erie County, New York"	749	91	6	94	40	4	0.000132747	0.099429503	55	38	87	107	122		
"Essex County, New York"	21	91	7	109	47	0	0.0001016	0.002087683	28	2	3	3	4		
"Franklin County, New York"	30	86	8	121	41	1	1.93802E-05	0.000589275	0	0	0	0	1		
"Fulton County, New York"	104	87	8	99	43	1	1.8008E-05	0.001876173	0	1	1	1	1		
"Genesee County, New York"	121	91	5	100	43	0	3.32895E-05	0.004040404	33	1	1	1	2		
"Greene County, New York"	75	86	6	109	46	1	8.12661E-05	0.006079027	33	2	4	4	4		
"Hamilton County, New York"	3	88	11	106	54	0	0.000413565	0.001106195	0	2	2	2	2		
"Herkimer County, New York"	44	90	8	98	44	1	7.74966E-05	0.003429355	19	3	4	4	5		
"Jefferson County, New York"	63	90	8	111	32	0	1.72074E-05	0.001077006	33	1	2	2	2		
"Lewis County, New York"	21	90	8	102	42	0	0	0	0	0	0	0	0		
"Livingston County, New York"	102	89	5	101	40	0	4.58765E-05	0.0046875	17	2	3	3	3		
"Madison County, New York"	111	91	4	97	41	1	9.53133E-05	0.010574018	0	0	4	4	7		
"Monroe County, New York"	545	90	7	93	39	3	0.000158529	0.086383602	43	42	76	96	118		
"Montgomery County, New York"	122	85	7	97	41	1	7.96511E-05	0.009756098	11	3	3	3	4		
"Nassau County, New York"	"2,957.00"	91	5	94	42	17	0.002452349	7.251655629	43	1234	"2,442"	"2,869"	"3,285"		
"Niagara County, New York"	190	91	6	95	43	1	5.54352E-05	0.010526316	57	4	10	10	12		
"Oneida County, New York"	194	88	6	100	41	1	3.83178E-05	0.007419621	35	4	7	7	9		
"Onondaga County, New York"	579	91	6	93	39	3	0.000139179	0.080645161	77	17	52	52	65		
"Ontario County, New York"	163	93	5	96	43	1	8.33866E-05	0.013595166	33	4	6	6	9		
"Orange County, New York"	444	90	6	100	37	5	0.001711314	0.760429082	65	163	389	498	638		
"Orleans County, New York"	52	87	7	99	43	1	4.66385E-05	0.00244798	0	0	0	0	2		
"Oswego County, New York"	93	87	9	100	40	1	1.63788E-05	0.00152439	0	0	1	1	2		
"Otsego County, New York"	62	91	7	93	42	2	3.21239E-05	0.001994018	0	0	1	1	2		
"Putnam County, New York"	405	93	5	99	44	8	0.000842443	0.341463415	64	22	45	45	84		
"Rensselaer County, New York"	240	92	6	97	40	3	0.000194444	0.046616541	17	20	29	29	31		
"Rockland County, New York"	"1,566.00"	87	6	96	36	9	0.00310568	4.864321608	61	262	592	671	968		
"St. Lawrence County, New York"	260	88	9	104	38	1	8.93304E-06	0.000354484	0	0	1	1	1		
"Saratoga County, New York"	737	94	5	98	42	1	0.00029143	0.075829384	24	35	53	53	64		
"Schenectady County, New York"	52	90	7	95	40	4	0.000355465	0.261904762	21	32	44	44	55		
"Schoharie County, New York"	54	89	8	99	44	1	6.10706E-05	0.003194888	33	1	1	1	2		
"Schuyler County, New York"	108	90	7	100	46	1	0	0	0	0	0	0	0		
"Seneca County, New York"	40	86	5	111	42	1	0	0	0	0	0	0	0		
"Steuben County, New York"	71	90	7	99	42	1	8.08162E-05	0.005698006	67	2	4	4	8		
"Suffolk County, New York"	629	90	5	97	41	6	0.001513376	0.952380952	56	662	"1,458"	"1,880"	"2,260"		
"Sullivan County, New York"	78	86	9	106	43	2	0.000502921	0.039117352	54	12	23	23	39		
"Tioga County, New York"	98	90	7	97	44	1	1.95599E-05	0.001912046	0	1	1	1	1		
"Tompkins County, New York"	213	95	5	97	30	7	0.000157536	0.033613445	14	11	15	15	16		
"Ulster County, New York"	157	91	7	99	44	2	0.000356178	0.055986219	60	18	35	35	65		
"Warren County, New York"	76	92	5	96	46	1	3.04382E-05	0.002298851	33	1	2	2	2		
"Washington County, New York"	75	88	7	107	44	1	6.32751E-05	0.004728132	78	1	3	3	4		
"Wayne County, New York"	68	90	6	98	44	1	7.46491E-05	0.005057803	39	3	6	6	7		
"Westchester County, New York"	"1,898.00"	88	7	94	41	23	0.004942509	9.382	55	1387	"2,894"	"3,891"	"4,691"		
"Wyoming County, New York"	71	88	7	117	42	0	9.48879E-05	0.006711409	33	2	4	4	4		
"Yates County, New York"	67	86	6	93	42	0	0	0	0	0	0	0	0		
New York City	17435	81	8	90	37	57	0.002184185	38.08223853	46	"6,211"	12305	14904	17856		
