,State,County,Cases,Deaths
897,New York,Albany,152,0
898,New York,Allegany,2,0
899,New York,Broome,11,1
900,New York,Cayuga,2,0
901,New York,Chautauqua,1,0
902,New York,Chemung,1,0
903,New York,Chenango,3,0
904,New York,Clinton,10,0
905,New York,Columbia,12,0
906,New York,Cortland,2,0
907,New York,Delaware,5,0
908,New York,Dutchess,153,0
909,New York,Erie,122,0
910,New York,Essex,4,0
911,New York,Franklin,1,0
912,New York,Fulton,1,0
913,New York,Genesee,2,0
914,New York,Greene,4,0
915,New York,Hamilton,2,0
916,New York,Herkimer,5,0
917,New York,Jefferson,2,0
918,New York,Livingston,3,0
919,New York,Madison,7,0
920,New York,Monroe,118,0
921,New York,Montgomery,4,0
922,New York,Nassau,3285,17
923,New York,New York City,20011,280
924,New York,Niagara,12,0
925,New York,Oneida,9,0
926,New York,Onondaga,65,0
927,New York,Ontario,9,0
928,New York,Orange,638,0
929,New York,Orleans,2,0
930,New York,Oswego,2,0
931,New York,Otsego,2,0
932,New York,Putnam,84,0
933,New York,Rensselaer,31,0
934,New York,Rockland,1069,7
935,New York,Saratoga,64,0
936,New York,Schenectady,55,0
937,New York,Schoharie,2,0
938,New York,St. Lawrence,1,0
939,New York,Steuben,8,0
940,New York,Suffolk,2260,20
941,New York,Sullivan,39,0
942,New York,Tioga,1,0
943,New York,Tompkins,16,0
944,New York,Ulster,65,0
945,New York,Warren,2,0
946,New York,Washington,4,0
947,New York,Wayne,7,0
948,New York,Westchester,4690,0
949,New York,Wyoming,4,0
